strain,clade_membership,mutational_fitness
Wuhan/WH01/2019,19A,-0.01
CHN/CN2/2020,19B,0.23
KOR/KCDC03/2020,19B,0.23
AUS/VIC01/2020,19A,0.22
AUS/VIC03/2020,19A,0.22
THA/SI200478-NST/2020,19A,0.23
GBR/DMSOp13.5/2020,19B,0.28
USA/CA-CDC-03040142-001/2020,19A,0.02
AUS/SA02/2020,19A,0
AUS/SA03/2020,19A,0
ITA/INMI2-N/2020,19A,0.31
THA/SI200893-NT/2020,19A,0.22
SAU/492/2020,20A,0.32
KOR/KCDC03-NCCP43326/2020,19B,0.23
CHN/Hefei-240/2020,19A,0
MLI/M00960/2020,20A,0.47
AUS/VIC07/2020,19B,0.29
ITA/INMI1-B1/2020,19A,0.31
SAU/596/2020,20A,0.33
AUS/NT01/2020,19A,0.09
AUS/NT04/2020,19A,0.09
FIN/FIN-25-VE6-H10/2020,20A,0.3
KOR/2020-CoV55_Nasopharynx/2020,19A,0.29
FIN/hCoV-19-Finland-FIN-25/2020,20A,0.38
LR884163,19B,0.23
TWN/CGMH-CGU-04/2020,19A,0.21
NZL/20VR0174/2020,19A,0.22
Iceland/13/2020,19A,0.35
ISR/hCov-19-Israel-CVL-n896/2020,20B,0.44
GEO/MM202082/2020,19A,0.42
BRA/SP02/2020,19A,0.31
Netherlands/Loon_op_zand_1363512/2020,19A,0.3
USA/NH-CDC-03065707-001/2020,20C,0.28
Switzerland/ZH-UZH-1000477806/2020,20B,0.35
Switzerland/ZH-UZH-1000477796/2020,20B,0.35
THA/SI206377-NST/2020,19B,0.26
USA/VT-CDC-03068154-001/2020,19B,0.22
TWN/CGMH-CGU-06/2020,19A,0.21
FRA/FRA_WGS157/2020,20A,0.33
LR884066,19B,0.36
ZAF/R03006/2020,20A,0.3
LKA/COV53/2020,20B,0.35
COL/79256_Antioquia/2020,19B,0.23
Jamaica/UN-CDC-3088776-001/2020,19A,0.26
SRB/KI00020-13-03/2020,20B,0.35
GRC/204_33112/2020,20A,0.29
URY/Mdeo-1/2020,19B,0.23
TWN/CGMH-CGU-09/2020,19A,0.31
EGY/CPHL-NRC-20/2020,20A,0.32
BRA/HIAE-SP03/2020,20B,0.4
AUS/TAS64/2020,19B,0.21
PER/covper071/2020,20B,0.34
VEN/17M/2020,20A,0.29
VEN/1Z/2020,19B,0.26
PER/covper066/2020,19B,0.22
PER/covper065/2020,19A,0.09
IND/GMCKN443/2020,19A,0.26
USA/OR-QDX-1274/2020,19A,0.34
ZMB/29/2020,20B,0.35
FIN/3/2020,20B,0.34
USA/WV-QDX-1284/2020,19A,-0.01
BEN/260/2020,20C,0.36
Switzerland/VD-CHUV-GEN2957/2020,20C,0.35
USA/ND-NDDH-0006/2020,20C,0.31
Japan/P4-4/2020,20B,0.35
PER/covper072/2020,20A,0.3
PER/covper068/2020,19B,0.27
BRA/SP02cc/2020,19A,0.3
RUS/1054/2020,20C,0.31
VEN/8LR/2020,20B,0.33
CHL/Santiago-PUC_MVL_0010/2020,20A,0.31
AUS/NT06/2020,20C,0.31
JOR/SEARCH-0049-JOR/2020,20B,0.34
LBN/LB-R8/2020,20A,0.3
USA/OH-QDX-906/2020,19B,0.26
NZL/20VR1016/2020,19B,0.21
USA/WI-QDX-440/2020,20C,0.33
BRA/HIAE-SP04/2020,20B,0.4
KAZ/NCB-2/2020,20A,0.31
HongKong/HKPU-00031/2020,20A,0.3
NZL/20CV0269/2020,20A,0.3
NGA/NG57839/2020,20B,0.34
GMB/GC19-027/2020,20B,0.37
CHL/Santiago-PUC_MVL_0051/2020,20B,0.35
OV005933,20A,0.33
BRA/RJ01/2020,20C,0.31
BRA/RJ-DCVN1/2020,20C,0.31
NZL/20CV0273/2020,20C,0.32
NZL/20VR1888/2020,20B,0.35
JOR/SEARCH-0057-JOR/2020,19A,0.31
CUB/USAFSAM-S031/2020,20A,0.33
NZL/20CV0278/2020,20A,0.3
NZL/20VR1763/2020,19A,0.3
AUS/VIC418/2020,20A,0.34
USA/MS-USAFSAM-S023/2020,20C,0.32
NZL/20CV0284/2020,20B,0.35
NZL/20CV0281/2020,20B,0.35
USA/AK115/2020,20A,0.29
AUS/NT12/2020,20A,0.3
AUS/QLD935/2020,20A,0.29
CHL/Santiago-PUC_MVL_0030/2020,20A,0.3
AUS/TAS145/2020,19B,0.3
NZL/20VR1785/2020,19A,0.3
NZL/20CV0298/2020,20C,0.34
NZL/20CV0295/2020,20B,0.35
NZL/20CV0290/2020,20A,0.3
NZL/20CV0297/2020,19B,0.34
HongKong/HKPU-00036/2020,19A,0.23
CHL/Santiago-PUC_MVL_0036/2020,20A,0.32
POL/PL_P42/2020,19A,0.31
CHL/Santiago-PUC_MVL_0044/2020,20A,0.32
POL/PL_MCB_17/2020,20A,0.3
KEN/S299/2020,20D,0.34
ITA/Nuoro-CoV135/2020,20B,0.35
GHA/3176_S11/2020,19B,0.29
NZL/20CV0306/2020,19A,0.27
USA/WY-WYPHL-20006826/2020,19A,0.26
MAR/RMPS05/2020,20C,0.31
MLI/UCRC31/2020,19B,0.32
LKA/COV486/2020,19A,0.22
TUN/COV1482/2020,20C,0.31
SLE/KGH-G-8549/2020,20B,0.35
AUS/VIC1008/2020,20A,0.3
NZL/20VR2014/2020,19B,0.31
NZL/20CV0316/2020,19B,0.29
PER/covper095/2020,20A,0.3
USA/PR-CDC-S18/2020,20C,0.32
NZL/20VR1937/2020,20C,0.34
NZL/20VR2032/2020,20C,0.34
NZL/20CV0311/2020,20C,0.32
MAR/RMPS06/2020,20C,0.31
USA/MI-MDHHS-SC21503/2020,20C,0.31
LR963404,20C,0.31
PER/covper051/2020,20B,0.34
PER/covper049/2020,20D,0.35
TUN/TUN-2020-6895/2020,20B,0.34
AUS/TAS98/2020,19B,0.38
Iceland/1350/2020,19A,0.21
NZL/20CV0325/2020,20C,0.32
COL/Cali-01/2020,20C,0.31
USA/WY-WYPHL-20007411/2020,20C,0.31
CHN/HN07/2020,20B,0.35
PHL/GS/2020,19A,0.26
CHL/Santiago-PUC_MVL_0143/2020,20A,0.3
AUS/VIC846/2020,19A,0.38
NZL/20VR3477/2020,20A,0.29
AUS/VIC853/2020,20A,0.3
CHL/Los_Andes-PUC_MVL_0156/2020,20A,0.3
BEN/1409/2020,20C,0.28
Belize/UN-CDC-3595772-001/2020,20C,0.35
VEN/3NE/2020,20C,0.31
USA/WV118939/2020,20C,0.31
JPN/JP_Hiro46070c/2020,20B,0.34
PER/CoV-19_HRL-235/2020,20D,0.35
RUS/1150/2020,20C,0.31
CHL/Curico-PUC_MVL_0179/2020,20A,0.32
NZL/20VR3099/2020,20C,0.34
BRA/ICO1016/2020,20B,0.36
Switzerland/BS-UHB-42231705/2020,20A,0.34
POL/PL_MCB_30/2020,20A,0.31
PAK/SARS-CoV-2_86/2020,20D,0.35
BRA/ICO1044/2020,20B,0.36
AUS/TAS246/2020,19B,0.38
TWN/CGMH-CGU-26/2020,19A,0.26
GMB/GC19-029/2020,20A,0.32
SRB/SA00020-21-04/2020,20A,0.35
OU072890,20C,0.31
LR992106,20B,0.36
PAK/SARS-CoV-2_103/2020,20A,0.32
Netherlands/Limburg_56/2020,20B,0.36
PAK/SARS-CoV-2_104/2020,20A,0.41
BRA/ICO1052/2020,20B,0.35
KEN/C2777/2020,20A,0.33
GHA/84162_S45/2020,19B,0.29
NZL/20VR2931/2020,20C,0.32
NZL/20VR2917/2020,20C,0.32
USA/MN-MDH-1612/2020,20C,0.29
LR877183,20C,0.28
LR877181,20C,0.28
LR877186,20B,0.44
SLE/KGH-G-8790/2020,19B,0.34
CZE/IAB_14/2020,20B,0.35
CHL/Santiago-PUC_MVL_0236/2020,20A,0.31
DJI/NAMRU3_CL2/2020,20C,0.28
BRA/ICO1058/2020,20B,0.36
BRA/ICO1061/2020,20B,0.36
EGY/EGY_CCHE57357_A_13/2020,20B,0.04
BGD/DNAS_CPH_isl_428_BGD/2020,20B,0.34
PAK/SARS-CoV-2_114/2020,20A,0.41
CHL/Santiago-PUC_MVL_0254/2020,20C,0.32
MW342708,20B,0.22
IRN/COVID19-IRVSH3/2020,19A,0.13
GEO/Tb-7851/2020,19A,0.21
AUS/NT42/2020,20A,0.13
USA/ND-NDDH-0013/2020,20C,0.31
LR963453,20B,0.38
Japan/Donner29/2020,20B,0.34
AUS/NT41/2020,20B,0.35
USA/MA-MGH-00954/2020,20C,0.35
USA/MA-MGH-01140/2020,20C,0.31
RUS/3573/2020,20B,0.36
PER/covper029/2020,20D,0.35
LR884122,19B,0.27
AUS/TAS158/2020,19B,0.47
Japan/Donner32/2020,20B,0.38
PER/covper041/2020,20B,0.34
PER/covper037/2020,20D,0.34
BRA/ICO10202/2020,20A,0.31
BRA/ICO10208/2020,20A,0.31
BRA/ICO1067/2020,20A,0.3
PER/covper040/2020,20D,0.38
AUS/TAS259/2020,19B,0.37
PER/covper047/2020,20D,0.36
CHL/Santiago-SF6772/2020,20A,0.31
AUS/VIC1570/2020,19A,0.32
Japan/Donner33/2020,20B,0.35
Switzerland/SH-ETHZ-130015/2020,20B,0.34
KEN/C5011/2020,20A,0.37
NZL/20VR3112/2020,20C,0.31
OU072918,20A,0.29
CHL/Santiago-PUC_MVL_0332/2020,20B,0.34
CHL/Santiago-PUC_MVL_0422/2020,20B,0.36
CHL/Santiago-PUC_MVL_0491/2020,20B,0.36
GIN/C2/2020,20A,0.29
BRA/ICO1083/2020,20B,0.36
BRA/ICO1081/2020,20B,0.38
Japan/Donner37/2020,20B,0.35
USA/CA-CZB-1668/2020,20A,0.3
MAR/15N/2020,20B,0.34
ARG/Cordoba-189-251/2020,20A,0.36
LR963214,20A,0.3
TUR/KOC-IST-SP3/2020,20A,0.31
EGY/EGY_CCHE57357_A_12/2020,20A,0.32
GHA/82879_S48/2020,20A,0.3
Netherlands/Gelderland_105/2020,20C,0.31
VEN/12MZ/2020,20A,0.33
DJI/NAMRU3_004/2020,20C,0.28
VEN/11MZ/2020,20B,0.35
NZL/20VR3119/2020,20B,0.35
OU994399,20A,0.39
USA/WA-S1606/2020,20B,0.34
USA/SV110BV1/2020,20C,0.34
CHL/Santiago-PUC_MVL_0526/2020,20B,0.36
PAK/SARS-CoV-2_17/2020,20A,0.35
PAK/SARS-CoV-2_63/2020,20A,0.34
TUN/TUN_ADAGE_EZ432/2020,20C,0.31
BGD/BCSIR_NILMRC_323/2020,20B,0.38
LR963438,20A,0.39
PAK/JRCGR-KHI27/2020,20A,0.39
EGY/CUNCI-HGC4I031/2020,20D,0.34
PAK/JRCGR-KHI03/2020,20A,0.33
KOR/YS006/2020,20C,0.43
RUS/Dubrovka/2020,20B,0.38
BRA/PR-HF443/2020,20B,0.36
ARG/Cordoba-2842-202/2020,20A,0.36
ARG/Cordoba-16231-61/2020,20A,0.36
ARG/Cordoba-11860-61/2020,20A,0.36
ARG/Cordoba-11859-61/2020,20A,0.36
ARG/Cordoba-11300-61/2020,20A,0.36
POL/PL_MCB_64/2020,20B,0.35
POL/PL_MCB_63/2020,20A,0.31
CHL/Santiago-5092656/2020,20B,0.35
CHL/Santiago-5122666/2020,20B,0.36
CHL/Santiago-5120613/2020,20B,0.33
CHL/Santiago-5092655/2020,20B,0.34
CHL/Santiago-5120654/2020,20B,0.34
BRA/Rio-NS1/2020,20B,0.35
MLI/M00959/2020,19B,0.39
IND/GBRC214a/2020,20A,0.35
USA/AZ-1115/2020,20C,0.34
ISR/NH_M2_0614/2020,20B,0.36
mink/DK/AL25_Farm1/2020,20B,0.31
GIN/C3/2020,20A,0.32
OU453223,20A,0.32
DJI/NAMRU3_008/2020,20C,0.34
NZL/20VR3131/2020,19B,0.29
SRB/SU19854-17-06/2020,20D,0.36
mink/DK/KL11_Farm1/2020,20B,0.32
NZL/20CV0065/2020,20A,0.39
NZL/20VR3494/2020,20A,0.39
BGD/BCSIR_NILMRC_196/2020,20B,0.38
TUR/KOC-IST-OD5/2020,20B,0.35
USA/TG491590/2020,20A,0.38
NZL/20VR3476/2020,20A,0.29
AUS/VIC2185/2020,20F,0.44
IDN/RSDS-RCVTD-UNAIR-35-B/2020,20A,0.35
PER/covper048/2020,20A,0.34
BRA/Rio-NS2/2020,20B,0.35
BRA/MASP1C844R1/2020,20B,0.35
PHL/COVID-3477/2020,20B,0.37
PHL/COVID-3593/2020,20B,0.45
PHL/COVID-3493/2020,20B,0.35
